UNIV_FISCAL_YR,FIN_COA_CD,ACCOUNT_NBR,SUB_ACCT_NBR,FIN_OBJECT_CD,FIN_SUB_OBJ_CD,FIN_BALANCE_TYP_CD,FIN_OBJ_TYP_CD,ACLN_ANNL_BAL_AMT,FIN_BEG_BAL_LN_AMT,CONTR_GR_BB_AC_AMT,MO1_ACCT_LN_AMT,MO2_ACCT_LN_AMT,MO3_ACCT_LN_AMT,MO4_ACCT_LN_AMT,MO5_ACCT_LN_AMT,MO6_ACCT_LN_AMT,MO7_ACCT_LN_AMT,MO8_ACCT_LN_AMT,MO9_ACCT_LN_AMT,MO10_ACCT_LN_AMT,MO11_ACCT_LN_AMT,MO12_ACCT_LN_AMT,MO13_ACCT_LN_AMT,TIMESTAMP
2014,BL,2947430,-----,7112,---,CB,EE,20000,0,0,0,0,0,20000,0,0,0,0,0,0,0,0,0,111006222100
2014,BL,2947430,-----,7115,---,CB,EE,20000,0,0,0,0,0,20000,0,0,0,0,0,0,0,0,0,111006222100
2014,BL,2947430,-----,7122,---,CB,EE,20000,0,0,0,0,0,20000,0,0,0,0,0,0,0,0,0,111006222100
2014,BL,2947430,-----,7125,---,CB,EE,20000,0,0,0,0,0,20000,0,0,0,0,0,0,0,0,0,111006222100
2014,BL,2947482,-----,7112,---,CB,EE,20000,0,0,0,0,0,20000,0,0,0,0,0,0,0,0,0,111006222100
2014,BL,2947482,-----,7115,---,CB,EE,20000,0,0,0,0,0,20000,0,0,0,0,0,0,0,0,0,111006222100
2014,BL,2947482,-----,7122,---,CB,EE,20000,0,0,0,0,0,20000,0,0,0,0,0,0,0,0,0,111006222100
2014,BL,2947482,-----,7125,---,CB,EE,20000,0,0,0,0,0,20000,0,0,0,0,0,0,0,0,0,111006222100
2014,BL,2947483,-----,7112,---,CB,EE,20000,0,0,0,0,0,20000,0,0,0,0,0,0,0,0,0,111006222100
2014,BL,2947483,-----,7115,---,CB,EE,20000,0,0,0,0,0,20000,0,0,0,0,0,0,0,0,0,111006222100
2014,BL,2947483,-----,7122,---,CB,EE,20000,0,0,0,0,0,20000,0,0,0,0,0,0,0,0,0,111006222100
2014,BL,2947483,-----,7125,---,CB,EE,20000,0,0,0,0,0,20000,0,0,0,0,0,0,0,0,0,111006222100
2014,BL,2947485,-----,7112,---,CB,EE,20000,0,0,0,0,0,20000,0,0,0,0,0,0,0,0,0,111006222100
2014,BL,2947485,-----,7115,---,CB,EE,20000,0,0,0,0,0,20000,0,0,0,0,0,0,0,0,0,111006222100
2014,BL,2947485,-----,7122,---,CB,EE,20000,0,0,0,0,0,20000,0,0,0,0,0,0,0,0,0,111006222100
2014,BL,2947485,-----,7125,---,CB,EE,20000,0,0,0,0,0,20000,0,0,0,0,0,0,0,0,0,111006222100
2014,BL,2947486,-----,7112,---,CB,EE,20000,0,0,0,0,0,20000,0,0,0,0,0,0,0,0,0,111006222100
2014,BL,2947486,-----,7115,---,CB,EE,20000,0,0,0,0,0,20000,0,0,0,0,0,0,0,0,0,111006222100
2014,BL,2947486,-----,7122,---,CB,EE,20000,0,0,0,0,0,20000,0,0,0,0,0,0,0,0,0,111006222100
2014,BL,2947486,-----,7125,---,CB,EE,20000,0,0,0,0,0,20000,0,0,0,0,0,0,0,0,0,111006222100
2014,BL,2947487,-----,7112,---,CB,EE,20000,0,0,0,0,0,20000,0,0,0,0,0,0,0,0,0,111006222100
2014,BL,2947487,-----,7115,---,CB,EE,20000,0,0,0,0,0,20000,0,0,0,0,0,0,0,0,0,111006222100
2014,BL,2947487,-----,7122,---,CB,EE,20000,0,0,0,0,0,20000,0,0,0,0,0,0,0,0,0,111006222100
2014,BL,2947487,-----,7125,---,CB,EE,20000,0,0,0,0,0,20000,0,0,0,0,0,0,0,0,0,111006222100
2014,BL,2947488,-----,7112,---,CB,EE,20000,0,0,0,0,0,20000,0,0,0,0,0,0,0,0,0,111006222100
2014,BL,2947488,-----,7115,---,CB,EE,20000,0,0,0,0,0,20000,0,0,0,0,0,0,0,0,0,111006222100
2014,BL,2947488,-----,7122,---,CB,EE,20000,0,0,0,0,0,20000,0,0,0,0,0,0,0,0,0,111006222100
2014,BL,2947488,-----,7125,---,CB,EE,20000,0,0,0,0,0,20000,0,0,0,0,0,0,0,0,0,111006222100
2014,BL,2947489,-----,7112,---,CB,EE,20000,0,0,0,0,0,20000,0,0,0,0,0,0,0,0,0,111006222100
2014,BL,2947489,-----,7115,---,CB,EE,20000,0,0,0,0,0,20000,0,0,0,0,0,0,0,0,0,111006222100
2014,BL,2947489,-----,7122,---,CB,EE,20000,0,0,0,0,0,20000,0,0,0,0,0,0,0,0,0,111006222100
2014,BL,2947489,-----,7125,---,CB,EE,20000,0,0,0,0,0,20000,0,0,0,0,0,0,0,0,0,111006222100
2014,BL,2947490,-----,7112,---,CB,EE,20000,0,0,0,0,0,20000,0,0,0,0,0,0,0,0,0,111006222100
