FIN_COA_CD,ACCOUNT_NBR,FDOC_TYP_CD,ACCT_DLGT_UNVL_ID,OBJ_ID,VER_NBR,FDOC_APRV_FROM_AMT,ACCT_DLGT_PRMRT_CD,ACCT_DLGT_ACTV_CD,ACCT_DLGT_START_DT,FDOC_APRV_TO_AMT
BA,6044900,OLE,OLE1233208366,0393A3CC8C2DA502E043814FD881A502,1,null,Y,N,020318000000,null
BA,6044900,OLE_AV,OLE1233208366,0393A3CC8C31A502E043814FD881A502,1,null,Y,N,020318000000,null
BA,6044900,OLE_AV,OLE5400901960,0393A3CC9133A502E043814FD881A502,1,null,Y,Y,040930000000,null
BA,6044900,OLE_BC,OLE1233208366,A70A0DC6-0F59-937C-9009-B08EAAD43F14,1,null,N,Y,080122000000,null
BA,6044906,OLE,OLE1233208366,0393A3CC8C2FA502E043814FD881A502,1,null,Y,N,020318000000,null
BA,6044906,OLE_AV,OLE1233208366,0393A3CC8C53A502E043814FD881A502,1,null,Y,N,020318000000,null
BA,6044906,OLE_AV,OLE5400901960,0393A3CC9134A502E043814FD881A502,1,null,Y,Y,040930000000,null
BA,6044906,OLE_BC,OLE1233208366,22FE3C8F-0485-7397-40D9-E159380971F2,1,null,N,Y,080122000000,null
BA,6044913,OLE,OLE1233208366,0393A3CC8C2EA502E043814FD881A502,1,null,Y,N,020318000000,null
BA,6044913,OLE_AV,OLE1233208366,0393A3CC8C54A502E043814FD881A502,1,null,Y,N,020318000000,null
BA,6044913,OLE_AV,OLE5400901960,0393A3CC9135A502E043814FD881A502,1,null,Y,Y,040930000000,null
BA,9012025,OLE,OLE2966509283,0393A3CC8DF7A502E043814FD881A502,1,null,N,N,031017000000,null
BA,9012025,OLE,OLE5397206164,0393A3CC8DF6A502E043814FD881A502,1,null,N,N,030729000000,null
BA,9012025,OLE_AA,OLE5397206164,0393A3CC8EF3A502E043814FD881A502,1,null,N,Y,031017000000,null
BA,9012025,OLE_ACCT,OLE5397206164,0393A3CC8EECA502E043814FD881A502,1,null,N,Y,031017000000,null
BA,9012025,OLE_ADEL,OLE5397206164,0393A3CC8EEDA502E043814FD881A502,1,null,N,Y,031017000000,null
BA,9012025,OLE_AR,OLE5397206164,0393A3CC8EF4A502E043814FD881A502,1,null,N,Y,031017000000,null
BA,9012025,OLE_AT,OLE5397206164,0393A3CC8EF5A502E043814FD881A502,1,null,N,Y,031017000000,null
BA,9012025,OLE_AV,OLE5397206164,0393A3CC8EE1A502E043814FD881A502,1,null,Y,Y,031017000000,null
BA,9012025,OLE_BA,OLE5397206164,0393A3CC8EE4A502E043814FD881A502,1,null,N,Y,031017000000,null
BA,9012025,OLE_BT,OLE5397206164,0393A3CC8EF1A502E043814FD881A502,1,null,N,Y,031017000000,null
BA,9012025,OLE_CRM,OLE5397206164,0393A3CC8EF8A502E043814FD881A502,1,null,N,Y,031017000000,null
BA,9012025,OLE_DI,OLE5397206164,0393A3CC8EE6A502E043814FD881A502,1,null,N,Y,031017000000,null
BA,9012025,OLE_DV,OLE5397206164,0393A3CC8EE5A502E043814FD881A502,1,null,N,Y,031017000000,null
BA,9012025,OLE_ELR,OLE5397206164,0393A3CC8EF6A502E043814FD881A502,1,null,N,Y,031017000000,null
BA,9012025,OLE_FR,OLE5397206164,0393A3CC8EF7A502E043814FD881A502,1,null,N,Y,031017000000,null
BA,9012025,OLE_GEC,OLE5397206164,0393A3CC8EE7A502E043814FD881A502,1,null,N,Y,031017000000,null
BA,9012025,OLE_IB,OLE5397206164,0393A3CC8EE8A502E043814FD881A502,1,null,N,Y,031017000000,null
BA,9012025,OLE_ND,OLE5397206164,0393A3CC8EE9A502E043814FD881A502,1,null,N,Y,031017000000,null
BA,9012025,OLE_PE,OLE5397206164,0393A3CC8EEAA502E043814FD881A502,1,null,N,Y,031017000000,null
BA,9012025,OLE_SACC,OLE5397206164,0393A3CC8EEEA502E043814FD881A502,1,null,N,Y,031017000000,null
BA,9012025,OLE_SOBJ,OLE5397206164,0393A3CC8EEFA502E043814FD881A502,1,null,N,Y,031017000000,null
BA,9012025,OLE_ST,OLE5397206164,0393A3CC8EF2A502E043814FD881A502,1,null,N,Y,031017000000,null
BA,9012025,OLE_TF,OLE5397206164,0393A3CC8EEBA502E043814FD881A502,1,null,N,Y,031017000000,null
BA,9019993,OLE,OLE2253805465,0393A3CC9154A502E043814FD881A502,1,null,N,Y,031017000000,null
BA,9019993,OLE_AA,OLE5397206164,0393A3CC913CA502E043814FD881A502,1,null,N,Y,031017000000,null
BA,9019993,OLE_ACCT,OLE5397206164,0393A3CC913DA502E043814FD881A502,1,null,N,Y,031017000000,null
BA,9019993,OLE_ADEL,OLE5397206164,0393A3CC913EA502E043814FD881A502,1,null,N,Y,031017000000,null
BA,9019993,OLE_AR,OLE5397206164,0393A3CC913FA502E043814FD881A502,1,null,N,Y,031017000000,null
BA,9019993,OLE_AT,OLE5397206164,0393A3CC9140A502E043814FD881A502,1,null,N,Y,031017000000,null
BA,9019993,OLE_AV,OLE5397206164,0393A3CC9141A502E043814FD881A502,1,null,Y,Y,031017000000,null
BA,9019993,OLE_BA,OLE5397206164,0393A3CC9142A502E043814FD881A502,1,null,N,Y,031017000000,null
BA,9019993,OLE_BT,OLE5397206164,0393A3CC9145A502E043814FD881A502,1,null,N,Y,031017000000,null
BA,9019993,OLE_CRM,OLE5397206164,0393A3CC9146A502E043814FD881A502,1,null,N,Y,031017000000,null
BA,9019993,OLE_DI,OLE5397206164,0393A3CC9147A502E043814FD881A502,1,null,N,Y,031017000000,null
BA,9019993,OLE_DV,OLE5397206164,0393A3CC9148A502E043814FD881A502,1,null,N,Y,031017000000,null
BA,9019993,OLE_ELR,OLE5397206164,0393A3CC9149A502E043814FD881A502,1,null,N,Y,031017000000,null
BA,9019993,OLE_FR,OLE5397206164,0393A3CC914BA502E043814FD881A502,1,null,N,Y,031017000000,null
BA,9019993,OLE_GEC,OLE5397206164,0393A3CC914CA502E043814FD881A502,1,null,N,Y,031017000000,null
BA,9019993,OLE_IB,OLE5397206164,0393A3CC914DA502E043814FD881A502,1,null,N,Y,031017000000,null
BA,9019993,OLE_ND,OLE5397206164,0393A3CC914EA502E043814FD881A502,1,null,N,Y,031017000000,null
BA,9019993,OLE_PE,OLE5397206164,0393A3CC914FA502E043814FD881A502,1,null,N,Y,031017000000,null
BA,9019993,OLE_SACC,OLE5397206164,0393A3CC9150A502E043814FD881A502,1,null,N,Y,031017000000,null
BA,9019993,OLE_SOBJ,OLE5397206164,0393A3CC9151A502E043814FD881A502,1,null,N,Y,031017000000,null
BA,9019993,OLE_ST,OLE5397206164,0393A3CC9152A502E043814FD881A502,1,null,N,Y,031017000000,null
BA,9019993,OLE_TF,OLE5397206164,0393A3CC9153A502E043814FD881A502,1,null,N,Y,031017000000,null
BA,9019995,OLE_AA,OLE5397206164,0393A3CC90C2A502E043814FD881A502,1,null,N,Y,031017000000,null
BA,9019995,OLE_ACCT,OLE5397206164,0393A3CC90C3A502E043814FD881A502,1,null,N,Y,031017000000,null
BA,9019995,OLE_ADEL,OLE5397206164,0393A3CC90C4A502E043814FD881A502,1,null,N,Y,031017000000,null
BA,9019995,OLE_AR,OLE5397206164,0393A3CC90C5A502E043814FD881A502,1,null,N,Y,031017000000,null
BA,9019995,OLE_AT,OLE5397206164,0393A3CC90C6A502E043814FD881A502,1,null,N,Y,031017000000,null
BA,9019995,OLE_AV,OLE5397206164,0393A3CC90C7A502E043814FD881A502,1,null,Y,Y,031017000000,null
BA,9019995,OLE_BA,OLE5397206164,0393A3CC90C8A502E043814FD881A502,1,null,N,Y,031017000000,null
BA,9019995,OLE_BT,OLE5397206164,0393A3CC90CBA502E043814FD881A502,1,null,N,Y,031017000000,null
BA,9019995,OLE_CRM,OLE5397206164,0393A3CC90CCA502E043814FD881A502,1,null,N,Y,031017000000,null
BA,9019995,OLE_DI,OLE5397206164,0393A3CC90CDA502E043814FD881A502,1,null,N,Y,031017000000,null
BA,9019995,OLE_DV,OLE5397206164,0393A3CC90CEA502E043814FD881A502,1,null,N,Y,031017000000,null
BA,9019995,OLE_ELR,OLE5397206164,0393A3CC90CFA502E043814FD881A502,1,null,N,Y,031017000000,null
BA,9019995,OLE_FR,OLE5397206164,0393A3CC90D1A502E043814FD881A502,1,null,N,Y,031017000000,null
BA,9019995,OLE_GEC,OLE5397206164,0393A3CC90D2A502E043814FD881A502,1,null,N,Y,031017000000,null
